冊/課,課文,題目,long
B1 L1,我_人1 起來_事 了_ul,誰起來了?,
,,,
B1 L1,太陽_人2 也_d 起來_事 了_ul,誰也起來了?,
B1 L1,我_人2 天天_t 早起_v,我什麼時候起床?,
B1 L1,太陽_人3 也_d 天天_時 早起_v ,誰也天天早起?,
B1 L2,小方_人1 喜歡_v1 上學_v2,小方喜歡做什麼事?,
B1 L2,小方_人1 喜歡_v1 上學_v2,誰喜歡上學?,
B1 L2,小方_人1 喜歡_v1 老師_人2,誰喜歡老師?,
B1 L2,小方_人1 喜歡_v1 老師_人2,小方喜歡誰?,
B1 L2,老師_人3 也_d 喜歡_v2 小方_人4,誰喜歡小方?,
B1 L2,老師_人3 也_d 喜歡_v2 小方_人4,老師喜歡誰?,
B1 L2,小方_人1 喜歡_v1 同學_人2,小方喜歡誰?,
B1 L2,同學_人3 也_d 喜歡_v2 小方_人4,同學喜歡誰?,
B1 L3,背_v1 書包_物1 ，_x 上學_v2 去_v3,背書包去哪裡?,
B1 L3,我_人1 的_uj 書包_物1 裡_f ，_x 有_v1 書_物2 也_d 有_v2 筆_物3,我的書包裡有什麼?,
B1 L3,我_人1 有_v1 四本_m 書_物1,我有幾本書?,
B1 L3,我_人2 有_v2 三枝_m 筆_物2,我有幾隻筆?,
B1 L3,還_d 有_v3 一個_m 小_a 皮球_物3 ，_x 也_d 在_p 我_人3 的_uj 書包_物4 裡_f,什麼也在我的書包裡?,
B1 L4,媽媽_人1 教_v1 小方_人2 寫_v2 字_n,誰教小方寫字?,
B1 L4,媽媽_人1 教_v1 小方_人2 寫_v2 字_n,媽媽教誰寫字?,
B1 L4,媽媽_人1 說_v1 ：_x 寫_v2 字_n 要_v3 用_v4 心_n ,誰說寫字要用心?,
B1 L4,媽媽_人1 說_v1 ：_x 寫_v2 字_n 要_v3 用_v4 心_n ,媽媽說寫字要如何?,
B1 L4,身體_n 要_v5 坐_v6 正_d,身體要如何?,
B1 L4,兩手_m 要_v7 放_v8 好_a,兩手要如何?,
B1 L5,大樹_物1 高_a,什麼很高?,
B1 L5,花兒_物2 美_a,什麼很美?,
B1 L5,樹_物1 很_d 高_a ，_x 我們_人1 不要_df 爬上去_v1,什麼很高不要爬上去?,
B1 L5,花_物1 很_d 美_a ，_x 我們_人1 不要_df 摘下_v1 來_zg,什麼很美不要摘下來?,
B1 L5,草地_物1 很_d 漂亮_a ，_x 我們_人1 不要_df 去_v1 踩_v2 它_物2,什麼很漂亮不要去採它?,
B1 L6,小_a 鳥_n 小_a 鳥_n 愛_v1 唱歌_事,誰愛唱歌?,
B1 L6,小_a 鳥_n 小_a 鳥_n 愛_v1 唱歌_事,小鳥愛做什麼事?,
B1 L6,你_人1 的_uj 歌兒_n 真好_d 聽_v,小鳥的歌兒如何?,
B1 L6,請_v3 你_人2 和_c 我_人3 一起_m 唱歌_事 ，_x 你_人4 說_v4 好不好_l ?_x,請你和我一起做什麼事?,
B1 L7,爸爸_人1 說_zg ，_x 他_人2 小_a 時候_n 上學_v1 ，_x 看見_v2 老師_人3 ，_x 會_v3 向_p 老師_人4 行禮_v4,爸爸小時候上學看見誰會行禮?,
B1 L7,爸爸_人1 說_zg ，_x 他_人2 小_a 時候_n 上學_v1 ，_x 看見_v2 老師_人3 ，_x 會_v3 向_p 老師_人4 行禮_v4,爸爸小時候看見老師會做什麼事?,
B1 L7,現在_時 ，_x 我_人1 在_p 泰國_地方 上學_v1,現在我在哪裡上學?,
B1 L7,我_人2 看見_v2 老師_人3 ，_x 我_人4 會_v3 雙手_n 合掌_v4 ，_x 向_p 老師_人5 行禮_v5,我看見老師會做什麼事?,
B1 L8,明天_時 是_v1 小方_人1 的_uj 生日_t,明天是誰的生日?,
B1 L8,明天_時 是_v1 小方_人1 的_uj 生日_t,小方的生日是什麼時候?,
B1 L8,小方_人2 打_v2 電話_n 給_p 小亮_人3,小方打電話給誰?,
B1 L8,小方_人2 打_v2 電話_n 給_p 小亮_人3,誰打電話給小亮?,
B1 L8,小方_人1 說_v1 ：_x 「_x 小亮_人2 ，_x 明天_時 是_v2 我_人3 生日_t ，_x 請_v 你_人4 來_v3 我家_地方 好_a 嗎_y ？_x 」_x ,小方請誰來他家?,
B1 L8,小亮_人1 說_v1 ：_x 「_x 好_a 啊_y ！_x 我_人2 會_v2 唱歌_v3 給_p 你_人3 聽_v4 。_x 」_x ,小亮會做什麼事?,
B1 L8,小亮_人1 說_v1 ：_x 「_x 我_人2 明天_時 再_d 告訴_v2 你_人3 。_x 」_x ,小亮說什麼時候告訴你?,
B1 L9,小方_人1 在_p 學校_地方 裡_f ，_x 學會_v1 了_ul 很多_m 詞語_物1,小方在哪裡學會詞語?,
B1 L9,小方_人1 在_p 學校_地方 裡_f ，_x 學會_v1 了_ul 很多_m 詞語_物1,小方在學校學會什麼?,
B1 L9,他_人1 聽到_v1 媽媽_人2 說_v2 ：_x 「_x 我_人3 買_v3 了_ul 一件_m 新_a 衣服_物1 ，_x 很_d 滿意_v4 。_x 」_x,媽媽說買了一件什麼很滿意?,
B1 L9,他_人1 聽到_v1 媽媽_人2 說_v2 ：_x 「_x 我_人3 買_v3 了_ul 一件_m 新_a 衣服_物1 ，_x 很_d 滿意_v4 。_x 」_x,誰買了一件新衣服?,
B1 L9,他_人1 聽到_v1 爸爸_人2 說_zg ：_x 「_x 我_人3 做_v2 完_v3 一件_m 事_n ，_x 很_zg 得意_v4 。_x 」_x,爸爸說做完什麼很得意?,
B1 L9,他_人1 聽到_v1 哥哥_人2 說_zg ：_x 「_x 我_人3 跟_p 校長_人4 一起_m 照相_v2 ，_x 很_d 神氣_a 。_x 」_x,哥哥跟誰一起拍照?,
B1 L9,他_人1 聽到_v1 哥哥_人2 說_zg ：_x 「_x 我_人3 跟_p 校長_人4 一起_m 照相_v2 ，_x 很_d 神氣_a 。_x 」_x,哥哥說跟校長一起做什麼很神氣?,
B1 L9,看來_v1 ，_x 全家人_人 都_d 很_d 開心_a ！_x,全家人都很?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 姐姐_人2 坐_v ，_x 姐姐_人2 要_v 去_v 看_v 外婆_人3 。_x ,我做一條船給誰去看外婆?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 姐姐_人2 坐_v ，_x 姐姐_人2 要_v 去_v 看_v 外婆_人3 。_x ,姊姊坐船去看誰?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 哥哥_人4 坐_v ，_x 哥哥_人4 出海_v 去_v 打_v 魚_n,我做一條船給誰去打魚?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 哥哥_人4 坐_v ，_x 哥哥_人4 出海_v 去_v 打_v 魚_n,哥哥坐船去做什麼事?,
B1 L10,我_人1 做_v 一條_m 船_物1 ，_x 送給_v 弟弟_人5 坐_v ，_x 弟弟_人5 ，_x 弟弟_人5 ！_x 你_人5 要_v 到_v 哪裡_r ？_x ,弟弟坐船要到哪裡?,
B1 L11,坐_v1 火車_n ，_x 過_v2 山洞_n,坐火車過哪裡?,
B1 L11,妹妹_人1 學_v3 數數_v4 兒_n,妹妹學什麼?,
B1 L12,小方_人1 趕_v1 了_ul 十頭_m 牛_物 在_p 路上_地方 走_v2,小方趕了幾頭牛?,
B1 L12,他_人1 怕_v1 少_a 了_ul 牛_物 ，_x 一面_m 走_v2 ，_x 一面_m 數_v3,他一面走一面數怕什麼?,
B1 L12,他_人1 騎_v1 上_f 了_ul 一頭_m 牛_物1 ，_x 又_d 數著_v2 ：_x 「_x 一二三四五_m 六七_m 八九_m 。_x 啊_zg ！_x 少_a 了_ul 一頭_m 牛_物2 。_x 」,為什麼少了一頭牛?,
B1 L12,小方_人1 連忙_d 跳_v1 下來_v 2，_x 再_d 數一數_v3 ：_x 「_x 一二三四五六七八九十_m 。_x 」_x ,為什麼是十?,
B1 L13,我家_r 有_v1 一個_m 小_a 院子_地方,我家有一個什麼地方?,
B1 L13,媽媽_人1 在_p 院子_地方 裡_f 掃_v2 地_n,媽媽在院子裡做什麼?,
B1 L13,媽媽_人1 在_p 院子_地方 裡_f 掃_v2 地_n,誰在院子裡掃地?,
B1 L13,爸爸_人2 在_p 院子_地方 裡_f 澆_v3 花_物1,爸爸在院子裡做什麼?,
B1 L13,爸爸_人2 在_p 院子_地方 裡_f 澆_v3 花_物1,誰在院子裡澆花?,
B1 L13,我_人3 在_p 院子_地方 裡_f 拍_v4 皮球_物2,誰在院子裡拍皮球?,
B1 L13,我_人3 在_p 院子_地方 裡_f 拍_v4 皮球_物2,我在院子做什麼?,
B1 L13,小狗_n 在_p 院子_地方 裡_f 追_v2 小_a 貓_n ，_x 小貓_n 一_m 跳_v3 ，_x 跳到_v4 大樹_地方 上_f,誰跳到大樹上?,
B1 L14,今天_時 老師_人1 說_v1 了_ul 一個_m 笑話_事,老師說了什麼事?,
B1 L14,今天_時 老師_人1 說_v1 了_ul 一個_m 笑話_事,誰說了一個笑話?,
B1 L14,今天_時 老師_人1 說_v1 了_ul 一個_m 笑話_事,老師什麼時候說了一個笑話?,
B1 L14,有_v1 一個_m 人_人1 向_p 畫家_人2 要_v2 一張_m 畫_物1,向畫家要什麼物品?,
B1 L14,有_v1 一個_m 人_人1 向_p 畫家_人2 要_v2 一張_m 畫_物1,向誰要一張畫?,
B1 L14,畫家_人3 送_v1 他_人4 一張_m 白紙_物1,畫家送他什麼?,
B1 L14,畫家_人1 說_v1 ：_x 「_x 我_人2 畫_v2 一頭_m 牛_n 在_p 吃_v3 草_物 。_x 」_x ,畫家說他畫什麼在吃草?,
B1 L14,那人_人1 問_v1 ：_x 「_x 草_物 在_p 哪裡_r ？_x 」_x ,那人問什麼在哪裡?,
B1 L14,畫家_人1 說_v1 ：_x 「_x 草_物 被_p 牛_n 吃_事 了_ul 。_x 」_x,草被誰吃了?,
B1 L14,那個_人1 人_n 又_d 問_v1 ：_x 「_x 牛_n 在_p 哪裡_r ？_x 」_x ,那個人又問什麼在哪裡?,
B1 L14,畫家_人1 回答_v1 ：_x 「_x 牛_n 吃_事 了_ul 草_物 ，_x 就_d 回家_v2 了_ul ,牛吃完草之後去哪裡?,
B1 L14,老師_人2 說_v3 完_v4 笑話_n ，_x 大家_人3 都_d 笑_v5 了_ul ,老師說完笑話大家都如何?,
B1 L15,泰國_地方 有_v1 很多_m 大象_物1,泰國有很多什麼?,
B1 L15,泰國_地方 有_v1 很多_m 大象_物1,哪裡有很多大象?,
B1 L15,李爺爺_人1 家_n 有_v1 三頭_m 大象_物1,誰家有三頭大象?,
B1 L15,李爺爺_人1 家_n 有_v1 三頭_m 大象_物1,李爺爺家有幾頭大象?,
B1 L15,爸爸_人2 帶_v2 我_人3 去_v3 李爺爺_人4 家_n 看_v4 大象_物2,爸爸帶誰去李爺爺家看大象?,
B1 L15,爸爸_人2 帶_v2 我_人3 去_v3 李爺爺_人4 家_n 看_v4 大象_物2,誰帶我去李爺爺家看大象?,
B1 L15,爸爸_人2 帶_v2 我_人3 去_v3 李爺爺_人4 家_n 看_v4 大象_物2,爸爸帶我去看什麼?,
B1 L15,我_人1 看到_v1 大象_物 有_v2 一條_m 長長_a 的_uj 鼻子_n,大象有長長的什麼?,
B1 L15,我_人1 看到_v1 大象_物 有_v2 一條_m 長長_a 的_uj 鼻子_n,大象的鼻子如何?,
B1 L15,有_v3 兩隻_m 大大_a 的_uj 耳朵_n,有大大的什麼?,
B1 L15,還_d 有_v4 四隻_m 粗粗_a 的_uj 腿_n,有粗粗的什麼?,
B1 L15,我_人1 喜歡_v1 大象_物,我喜歡什麼?,
B2 L1,開學_v 了_ul ，_x 我們_人 走進_v 學校_地,開學了我們走進去哪裡?,
B2 L1,看到_v 同學_人 都_d 長_v 高_a 了_ul,同學們都如何?,
B2 L1,大家_人 相見_v 真_d 開心_a,大家相見心情如何?,
B2 L1,上課_v 了_ul ，_x 老師_人 教_v 我們_人 讀書_n ,上課了老師教我們?,
B2 L1,老師_人 教_v 我們_人 寫_v 字_n,老師教我們什麼?,
B2 L1,上學_n 真_d 快樂_a ,上學心情如何?,
B2 L1,下課_v 了_ul ，_x 我_人 和_c 同學_人 一起_m 打球_v,下課了我和同學一起做什麼?,
B2 L1,下課_v 了_ul ，_x 我_人 和_c 同學_人 一起_m 打球_v,下課了我和誰一起打球?,
B2 L1,我_人 和_c 同學_人 一起_m 玩耍_v,我和誰一起玩耍?,
B2 L1,我_人 和_c 同學_人 一起_m 玩耍_v,我和同學一起做什麼?,
B2 L2,小_a 毛蟲_n ，_x 真_d 可愛_a,小毛蟲真如何?,
B2 L2,喜歡_v 爬_v 呀_y 爬_v,喜歡做什麼事?,
B2 L2,爬到_v 樹上_地 吃_v 葉子_物,爬到哪裡吃葉子?,
B2 L2,爬到_v 樹上_地 吃_v 葉子_物,爬到樹上吃什麼?,
B2 L2,爬到_v 樹上_地 去_v 喝水_v,爬到哪裡去喝水?,
B2 L2,爬到_v 樹上_地 去_v 喝水_v,爬到樹上去做什麼?,
B2 L2,快快_d 長大_v 變_nz 蝴蝶_n,快快長大變什麼?,
B2 L2,快樂_a 飛_nr 在_p 花園_n 中_f,快樂飛在哪裡?,
B2 L3,夏天_時 的_uj 晚上_時,什麼天的晚上?,
B2 L3,夏天_時 的_uj 晚上_時,夏天的什麼時候?,
B2 L3,我們_人 坐在_v 院子_地 裡_f,我們坐在哪裡?,
B2 L3,看_v 天上_地 的_uj 星星_物,看天上的什麼?,
B2 L3,看_v 天上_地 的_uj 星星_物,看哪裡的星星?,
B2 L3,小_a 星星_物 在_p 天空_地 發出_v 亮光_n,小星星在哪裡發出亮光?,
B2 L3,小_a 星星_物 ，_x 在_p 遠_a 遠_a 的_uj 天空_地,小星星在哪裡?,
B2 L3,一閃一閃_l 的_uj ，_x 連成_v 了_ul 一條_m 星河_n,一閃一閃連成了什麼?,
B2 L3,我_人 和_c 弟弟_人 一起_m 數_v,我和弟弟一起做什麼?,
B2 L3,我_人 和_c 弟弟_人 一起_m 數_v,我和誰一起數?,
B2 L4,下過_v 雨_物 ，_x 太陽_物 出來_v 了_ul,下過雨什麼東西出來了?,
B2 L4,天空_地 出現_v 了_ul 一道_m 彩虹_物,天空出現了什麼?,
B2 L4,美麗_a 的_uj 虹_物,美麗的什麼?,
B2 L4,彎彎的_z ，_x 像_v 一座_m 橋_物,像一座什麼?,
B2 L4,彎彎的_z 彩虹_物 上_f ，_x 有_v 許多_m 顏色_n,彩虹有許多什麼?,
B2 L4,美麗_a 的_uj 虹_物 ，_x 一共_j 有_v 七種_m 顏色_n,虹有幾種顏色?,
B2 L4,是_v 一座_m 七色_n 的_uj 橋_物 ,是一座七色的什麼?,
B2 L4,我_人 要_v 趕快_d 把_p 美麗_a 的_uj 彩虹_物 畫_v 下來_v,我要趕快把什麼東西畫下來?,
B2 L5,花園_地方 裡_f ，_x 草_n 綠_a 了_ul ，_x 花開_v 了_ul,什麼地方的花開了?,
B2 L5,媽媽_人 說_v ：_x 「_x 天氣_n 暖和_a 了_ul ，_x 春天_時 來_v 了_ul 。_x 」,天氣暖和什麼時候了?,
B2 L5,媽媽_人 說_v ：_x 「_x 大地_地 開滿_v 了_ul 花_物 ，_x 就是_d 春天_時 來_v 了_ul 。_x 」_x ,大地開滿了花就是什麼時候來了?,
B2 L6,爸爸_人 對_p 我們_人 說_zg ：_x 「_x 種樹_v 很_d 重要_a ，_x 我們_人一起_m 來_v 種樹_v 吧_y ！_x 」_x,爸爸說什麼很重要?,
B2 L6,爸爸_人 種_v 的_uj 是_v 松樹_物,誰種松樹?,
B2 L6,爸爸_人 種_v 的_uj 是_v 松樹_物,爸爸種什麼?,
B2 L6,他_人 說_v 松樹_物 不怕_c 風雨_物 ，_x 活得_v 長_a,松樹不怕什麼?,
B2 L6,我_人 種_v 了_ul 山茶花_物,我種了什麼?,
B2 L6,我_人 種_v 了_ul 山茶花_物,誰種了山茶花?,
B2 L6,弟弟_人 要_v 種_v 香蕉_物 ,弟弟種了什麼?,
B2 L6,弟弟_人 要_v 種_v 香蕉_物 ,誰要種香蕉?,
B2 L6,媽媽_人 說_v ：_x 「_x 你們_人 種樹_v ，_x 我_人 來_v 澆_v 水_n,誰澆水?,
B2 L6,媽媽_人 說_v ：_x 「_x 你們_人 種樹_v ，_x 我_人 來_v 澆_v 水_n,媽媽來做什麼?,
B2 L7,星期天_時 的_uj 下午_時,星期天的什麼時候?,
B2 L7,星期天_時 的_uj 下午_時,哪天的下午?,
B2 L7,媽媽_人 帶_v 我_人 和_c 弟弟_人 去_v 看_v 大象_人 表演_v,媽媽帶我和誰去看大象表演?,
B2 L7,媽媽_人 帶_v 我_人 和_c 弟弟_人 去_v 看_v 大象_人 表演_v,媽媽帶我和弟弟去看誰表演?,
B2 L7,大象_人 用_v 鼻子_物 拿_v 起_v 彩色筆_物 畫_v 圖_物,大象用什麼拿起彩色筆?,
B2 L7,大象_人 用_v 鼻子_物 拿_v 起_v 彩色筆_物 畫_v 圖_物,大象用鼻子拿起什麼東西?,
B2 L7,大象_人 用_v 鼻子_物 拿_v 起_v 彩色筆_物 畫_v 圖_物,大象用彩色筆做什麼?,
B2 L7,大象_人 用_v 鼻子_物 拿_v 起_v 彩色筆_物 畫_v 圖_物,誰用彩色筆畫圖?,
B2 L7,弟弟_人 看_v 了_ul 說_v ：_x 「_x 大象_人 真_d 像_v 個_q 大_a 畫家_人 。_x 」_x,大象像什麼?,
B2 L7,有_v 的_uj 大象_人 跟著_v 音樂_n 跳舞_v,誰跟著音樂跳舞?,
B2 L7,有_v 的_uj 大象_人 跟著_v 音樂_n 跳舞_v,大象跟著什麼跳舞?,
B2 L7,一邊_d 跳舞_v ，_x 一邊_d 向_p 大家_人 要_v 香蕉_物 吃_v,向大家要什麼吃?,
B2 L7,媽媽_人 買_v 了_ul 香蕉_物 拿_v 給_p 大象_人,媽媽買了什麼拿給大象?,
B2 L7,媽媽_人 買_v 了_ul 香蕉_物 拿_v 給_p 大象_人,媽媽買了香蕉拿給誰?,
B2 L7,大象_人 拿到_v 香蕉_物 ，_x 就_d 向_p 媽媽_人 點_m 點頭_v,大象拿到香蕉向誰點頭?,
B2 L8,有一_nr 隻_zg 愛_v 唱歌_n 的_uj 烏鴉_n,烏鴉愛做什麼事?,
B2 L8,唱_v 得_ud 口渴_n 了_ul,唱得如何了?,
B2 L8,烏鴉_n 正_d 想_v 找水_v 喝_vg 的_uj 時候_n,烏鴉正想做什麼的時候?,
B2 L8,烏鴉_n 正_d 想_v 找水_v 喝_vg 的_uj 時候_n,誰正想找水喝的時候?,
B2 L8,看見_v 了_ul 一個_m 水瓶_物,看見了什麼東西?,
B2 L8,水瓶_物 裡_f 只有_c 一點點_m 水_物 ，_x 瓶口_n 又_d 小_a,水瓶的瓶口如何?,
B2 L8,他_人 喝_vg 不到_v 瓶_物 裡_f 的_uj 水_物,他喝不到瓶裡的什麼?,
B2 L8,他_人 把_p 許多_m 小_a 石子_物 ，_x 放到_v 水瓶_物 裡_f,他把什麼放進水瓶裡?,
B2 L8,水瓶_物 裡_f 的_uj 水_物 升高_v 了_ul,水瓶的水如何?,
B2 L9,小方_人 在_p 學校_地方 裡_f,小方在哪裡?,
B2 L9,小方_人 在_p 學校_地方 裡_f,誰在學校裡?,
B2 L9,學會_v 了_ul 很多_m 詞語_物,學會了很多什麼?,
B2 L9,現在_時 他_人 很_d 注意_v1 聽_v 大家_人 說_v 的_uj 話_n,現在很注意大家的什麼?,
B2 L9,他_人 聽到_v 媽媽_人 說_v ：_x 「_x 我_人 買_v 了_ul 一件_m 新_a 衣服_物 ，_x 很_d 滿意_v 。_x 」_x ,媽媽買了什麼?,
B2 L9,他_人 聽到_v 媽媽_人 說_v ：_x 「_x 我_人 買_v 了_ul 一件_m 新_a 衣服_物 ，_x 很_d 滿意_v 。_x 」_x ,誰買了一件新衣服?,
B2 L9,他_人 聽到_v 爸爸_人 說_zg ：_x 「_x 我_人 做_v 完_v 一件_m 事_事 ，_x 很_zg 得意_v 。_x 」_x,爸爸做什麼事很滿意?,
B2 L9,他_人 聽到_v 哥哥_人 說_zg ：_x 「_x 我_人 跟_p 校長_人 一起_m 照相_事 ，_x 很_d 神氣_a 。_x 」_x,哥哥跟誰一起照相很神氣?,
B2 L9,他_人 聽到_v 哥哥_人 說_zg ：_x 「_x 我_人 跟_p 校長_人 一起_m 照相_事 ，_x 很_d 神氣_a 。_x 」_x,哥哥跟校長一起做什麼事?,
B2 L9,看來_v ，_x 全家人_人 都_d 很_d 開心_a,全家人都很?,
B2 L9,小方_人 在_p 學校_地方 裡_f,小方在哪裡?,
B2 L10,今天_時 放假_v ，_x 爸爸_人 帶_v 我_人 和_c 弟弟_人 去_v 動物園_地,爸爸帶我和誰去動物園?,
B2 L10,今天_時 放假_v ，_x 爸爸_人 帶_v 我_人 和_c 弟弟_人 去_v 動物園_地,爸爸帶我和弟弟去哪裡?,
B2 L10,今天_時 放假_v ，_x 爸爸_人 帶_v 我_人 和_c 弟弟_人 去_v 動物園_地,誰帶我和弟弟去動物園?,
B2 L10,我_人 在_p 動物園_地 門口_s,我在哪裡?,
B2 L10,我_人 在_p 動物園_地 門口_s,誰在動物園門口?,
B2 L10,碰到_v 了_ul 幾個_m 朋友_人,碰到了誰?,
B2 L10,他們_人 也_d 來看_u 動物_物,他們也來看什麼?,
B2 L10,在_p 動物園_地 裡_f ，_x 我_人 看到_v 可愛_v 的_uj 山羊_物、_x 高大_a 的_uj 水牛_物 ,在動物園我們看到什麼?,
B2 L10,還_x 看到_v 許多_m 小_a 猴子_人 在_p 樹上_地 跳_v 來_v 跳_v 去_v,看到什麼在樹上跳?,
B2 L10,還_x 看到_v 許多_m 小_a 猴子_人 在_p 樹上_地 跳_v 來_v 跳_v 去_v,看到小猴子在哪裡跳?,
B2 L10,小_a 猴子_人 喜歡_v 學_v 人_人 的_uj 動作_n,小猴子喜歡學誰的動作?,
B2 L11,有_v 一隻_m 小_a 烏鴉_人 找到_v 一塊_m 肉_物,小烏鴉找到甚麼,
B2 L11,他_人 叼_v 著_v 這塊_r 肉_物，_x 飛到_v 一棵_m 大樹_地 上_f ,他叼著這塊肉飛到哪裡?,
B2 L11,小_a 烏鴉_人 正要_a 吃_v 這塊_r 肉_物 時_ng ，_x 被_p 樹下_地 的_uj 狐狸_人 看到_v 了_ul ,烏鴉正要吃肉時被誰看到了?,
B2 L11,烏鴉_人 聽到_v 狐狸_人 說_v 他_人 的_uj 歌聲_物 很_d 好_a 聽_v ，_x 心裡_地 很_d 高興_a,烏鴉聽到狐狸說他什麼心裡很開心?,
B2 L11,想不到_l 一_m 開口_v ，_x 口裡_地 叼_v 著_v 的_uj 肉_物 就_d 掉_v 到_v 樹下_地 了_ul,一開口肉就掉到哪裡了?,
B2 L12,橋_物 的_uj 這_r 一頭_m ，_x 有一_nr 隻_zg 白_a 狗_人,橋的這一頭有一隻什麼?,
B2 L12,橋_物 的_uj 那_r 一頭_m ，_x 有一_nr 隻_zg 黑_a 狗_人,橋的那一頭有一隻什麼?,
B2 L12,白狗_人 要_v 過_ug 橋_物 ，_x 黑狗_人 也_d 要_v 過_ug 橋_物 ,誰要過橋?,
B2 L12,兩_m 隻_y 狗_人 打_v 起_v 來_v ，_x 都_d 掉_v 到_v 河裡_地 去_v 了_ul,兩隻狗掉到哪裡了?,
B2 L12,橋_物 的_uj 東邊_s ，_x 有一_nr 隻_zg 白羊_人,橋的東邊有什麼?,
B2 L12,橋_物 的_uj 西邊_s ，_x 有一_nr 隻_zg 黑羊_人,橋的西邊有什麼?,
B2 L12,白羊_人 要_v 過_ug 橋_物 ，_x 黑羊_人 也_d 要_v 過_ug 橋_物 ,誰要過橋?,
B2 L12,兩隻_m 羊_人 走_v 到_v 橋_物 中間_f ，_x 白羊_人 退回去_l ，_x 讓_v 黑_a 羊_人 先_d 過_ug 橋_n ,誰先過橋?,
B2 L13,我_人 是一隻小_a 蝸牛_物,我是什麼?,
B2 L13,我_人 有_v 一個_m 可愛_a 的_uj 家_物,我有一個可愛的什麼?,
B2 L13,我_人 的_uj 家_物 小小的_z ，_x 只有_c 一個_m 房間_物,我的家只有一個什麼?,
B2 L13,我_人 每天_r 辛苦_a 的_uj 背著_v 小_a 房子_物 走路_v,我每天背著什麼走路?,
B2 L13,我_人 背著_v 小_a 房子_物 爬_v 樹_物,我背著什麼爬樹?,
B2 L13,我_人 背著_v 小_a 房子_物 找_v 食物_物,我背著小房子找什麼?,
